fid,OBJECTID,PLANT_CODE,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,OPERATOR,OPERAT_ID,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,NET_GEN,CAP_FACTOR,SUB_1,SUB_2,LINES,SOURCE_LAT,SOURC_LONG,IDint,Gross Load,Steam Load,SO2 Mass (,CO2 Mass (,NOx Mass (,Heat Input,Disadvanta,Not Disadv,Tract Stat
4,"982","2490",ARTHUR KILL GENERATING STATION,4401 VICTORY BLVD,STATEN ISLAND,NY,"10314",NOT AVAILABLE,"NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS STEAM TURBINE",OP,RICHMOND,"36085",USA,40.591916459000061,-74.199843913999985,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/11,arthurkill.com,NRG ARTHUR KILL OPERATIONS INC,"13192",895.500000000000000,866.399999999999977,881.799999999999955,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,NG,NOT AVAILABLE,0.000000000000000,9760256.000000000000000,0.000000000000000,870379.000000000000000,0.114679516774392,FRESH KILLS,NOT AVAILABLE,1.000000000000000,40.591563999999998,-74.200035000000000,"2490",2554317.500000000000000,402041.500000000000000,7.833000000000000,1579839.449999999953434,1416.933999999999969,26616147.899999998509884,"0","1",Not Disadvantaged
6,"984","2493",EAST RIVER,801 EAST 14TH STREET,NEW YORK,NY,"10009",(800) 752-6633,"NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS STEAM TURBINE",OP,NEW YORK,"36061",USA,40.728077485000036,-73.973748408999938,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/11,http://www.coned.com/,CONSOLIDATED EDISON CO-NY INC,"4226",716.200000000000045,639.600000000000023,732.600000000000023,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,NG,DFO,0.000000000000000,33744127.000000000000000,6631.000000000000000,3120898.998999999370426,0.557015336176149,NOT AVAILABLE,NOT AVAILABLE,0.000000000000000,40.728099999999998,-73.974199999999996,"2493",,7143698.500000000931323,677.967999999999961,910501.775000000023283,1691.558999999999969,13523958.550000000745058,"0","1",Not Disadvantaged
11,"990","2500",RAVENSWOOD,38-54 VERNON BLVD,LONG ISLAND,NY,"11101",(718) 706-2707,"NATURAL GAS FIRED COMBINED CYCLE; NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS STEAM TURBINE",OP,QUEENS,"36081",USA,40.759461653000074,-73.946138521999956,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/19,http://www.transcanada.com/docs/Our_Businesses/ravenswood.pdf,"HELIX RAVENSWOOD, LLC","61130",2461.800000000000182,2241.000000000000000,2327.699999999999818,316.000000000000000,179.099999999999994,15.000000000000000,3.000000000000000,7.000000000000000,NG,MWH,0.000000000000000,17847460.000000000000000,0.000000000000000,2078237.013000000035390,0.105864198193077,VERNON,NOT AVAILABLE,1.000000000000000,40.759166999999998,-73.946111000000002,"2500",5368752.250000000000000,1281862.750000000000000,2646.429000000000087,3640143.362000000197440,4289.395000000000437,58212762.229999996721745,"0","1",Not Disadvantaged
15,"994","2511",E F BARRETT,MCCARTHY ROAD,ISLAND PARK,NY,"11558",NOT AVAILABLE,"NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS STEAM TURBINE",OP,NASSAU,"36059",USA,40.616834334000032,-73.647803942999985,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/15,https://www1.nationalgridus.com/CorporateHub,NATIONAL GRID GENERATION LLC,"56505",669.200000000000045,653.600000000000023,725.200000000000045,0.000000000000000,18.000000000000000,13.000000000000000,0.000000000000000,1.000000000000000,NG,DFO,0.000000000000000,15394959.000000000000000,18205.000000000000000,1385046.019000000087544,0.241906787242277,E F BARRETT,NOT AVAILABLE,1.000000000000000,40.616689000000001,-73.647880999999998,"2511",1791410.500000000000000,,783.038999999999987,1223069.266999999992549,1341.390000000000100,20448509.199999999254942,"0","1",Not Disadvantaged
18,"997","2514",GLENWOOD,200 SHORE ROAD,GLENWOOD LANDING,NY,"11547",(800) 642-4272,"NATURAL GAS STEAM TURBINE; PETROLEUM LIQUIDS",OP,NASSAU,"36059",USA,40.827178562000029,-73.647455187999981,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/08,https://www1.nationalgridus.com/CorporateHub,NATIONAL GRID GENERATION LLC,"56505",110.000000000000000,104.099999999999994,123.700000000000003,0.000000000000000,228.000000000000000,2.000000000000000,0.000000000000000,2.000000000000000,NG,DFO,0.000000000000000,0.000000000000000,4828.000000000000000,1308.000000000000000,0.001434342636822,GLENWOOD LANDING,NOT AVAILABLE,1.000000000000000,40.827148999999999,-73.647473000000005,"2514",868592.750000000000000,,2.775000000000000,549627.599999999976717,457.363000000000000,9576012.224999999627471,"0","1",Not Disadvantaged
20,"999","2516",NORTHPORT,EATON'S NECK ROAD,NORTHPORT,NY,"11768",(800) 642-4272,"NATURAL GAS STEAM TURBINE; PETROLEUM LIQUIDS",OP,SUFFOLK,"36103",USA,40.923243151000065,-73.342144116999961,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/08,https://www1.nationalgridus.com/CorporateHub,NATIONAL GRID GENERATION LLC,"56505",1564.000000000000000,1604.000000000000000,1601.700000000000045,0.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,NG,DFO,0.000000000000000,30479078.999999996274710,29972.000000000000000,2952642.994000000413507,0.210136971640533,NORTHPORT,NOT AVAILABLE,1.000000000000000,40.923565000000004,-73.342322999999993,"2516",7708832.000000000000000,,25488.149000000001251,6029315.148000000044703,7623.694999999999709,77652148.980000004172325,"0","1",Not Disadvantaged
21,"1000","2517",PORT JEFFERSON,BEACH STREET,PORT JEFFERSON,NY,"11776",(800) 642-4272,"NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS STEAM TURBINE; PETROLEUM LIQUIDS",OP,SUFFOLK,"36103",USA,40.949617423000063,-73.078177247999974,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/08,https://www1.nationalgridus.com/CorporateHub,NATIONAL GRID GENERATION LLC,"56505",498.000000000000000,480.600000000000023,494.300000000000011,0.000000000000000,92.000000000000000,5.000000000000000,0.000000000000000,2.000000000000000,NG,RFO,0.000000000000000,5721749.000000000931323,63515.000000000000000,550036.001999999978580,0.130648143872671,UNKNOWN129212,NOT AVAILABLE,1.000000000000000,40.949696000000003,-73.078507000000002,"2517",1833411.250000000000000,,4904.298999999999978,1385573.100000000093132,1297.018000000000029,19197845.550000000745058,"0","1",Not Disadvantaged
24,"1003","2521",WEST BABYLON,11 BAHAMA STREET,WEST BABYLON,NY,"11704",(800) 642-4272,PETROLEUM LIQUIDS,RE,SUFFOLK,"36103",USA,40.695469188000061,-73.349378110999965,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/08,https://www1.nationalgridus.com/CorporateHub,NATIONAL GRID GENERATION LLC,"56505",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,52.399999999999999,0.000000000000000,0.000000000000000,1.000000000000000,DFO,NOT AVAILABLE,0.000000000000000,0.000000000000000,4652.000000000000000,1592.000000000000000,0.000000000000000,WEST BABYLON,NOT AVAILABLE,1.000000000000000,40.695484999999998,-73.348573000000002,"2521",2062.000000000000000,,,,16.428999999999998,27381.500000000000000,"0","1",Not Disadvantaged
27,"1011","2535",CAYUGA OPERATING COMPANY,228 CAYUGA DR,LANSING,NY,"14882",NOT AVAILABLE,CONVENTIONAL STEAM COAL,RE,TOMPKINS,"36109",USA,42.601951499000045,-76.634431878999990,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/12,http://www.lansingstar.com/news-page/10362-cayuga-power-plant-to-run-at-least-3-12-more-years,"CAYUGA OPERATING COMPANY, LLC","22125",-999999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,322.500000000000000,0.000000000000000,0.000000000000000,2.000000000000000,BIT,DFO,41669.000000000000000,0.000000000000000,1960.000000000000000,82107.000000000000000,-999999.000000000000000,CAYUGA OPERATING COMPANY,NOT AVAILABLE,1.000000000000000,42.602800000000002,-76.633600000000001,"2535",,16940785.750000000000000,2496.903999999999996,2401891.049000000115484,3576.704999999999927,23410299.079999998211861,"0","1",Not Disadvantaged
28,"1012","2539",BETHLEHEM ENERGY CENTER,ROUTE 144 RIVER ROAD,GLENMONT,NY,"12077",(518) 436-5027,"NATURAL GAS FIRED COMBINED CYCLE; NATURAL GAS STEAM TURBINE",OP,ALBANY,"36001",USA,42.593718826000043,-73.763429131999942,"221112",FOSSIL FUEL ELECTRIC POWER GENERATION,"EIA 860, EIA 923",2014/04/07,IMAGERY,2015/05/19,https://www.pseg.com/family/power/fossil/stations/bethlehem.jsp,PSEG POWER NEW YORK INC,"14294",893.100000000000023,817.000000000000000,924.700000000000045,0.000000000000000,400.000000000000000,4.000000000000000,0.000000000000000,4.000000000000000,NG,KER,0.000000000000000,33696010.000000000000000,0.000000000000000,4975715.000000000000000,0.695231328560330,BETHLEHEM ENERGY CENTER,NOT AVAILABLE,1.000000000000000,42.594195999999997,-73.763751999999997,"2539",363977.409999999974389,,2548.871000000000095,336271.788999999989755,453.529999999999973,4282501.662999999709427,"0","1",Not Disadvantaged
