State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Disadvantaged?,Not Disadvantaged,Tract Status?
NY,Arthur Kill,2490,2009,1001512.5,,3.192,632554.6,465.043,10653502.15,0,1,Not Disadvantaged
NY,East River,2493,2009,1909960,6285391,89.884,1796065.75,723.248,29981259.2,0,1,Not Disadvantaged
NY,Ravenswood Generating Station,2500,2009,3333772,1186994.75,296.581,1874271.925,1020.641,32814492.43,0,1,Not Disadvantaged
NY,E F Barrett,2511,2009,1055771.5,,42.628,674502.5,815.304,11638947.88,0,1,Not Disadvantaged
NY,Glenwood,2514,2009,76276,,5.227,55945,33.888,934224.475,0,1,Not Disadvantaged
NY,Northport,2516,2009,3487666.75,,2956.135,2333084.625,2044.738,36312881.13,0,1,Not Disadvantaged
NY,Port Jefferson Energy Center,2517,2009,663429.5,,662.715,428291.425,303.713,6539297.775,0,1,Not Disadvantaged
NY,West Babylon Facility,2521,2009,571,,1.064,627.1,2.404,7741.2,0,1,Not Disadvantaged
NY,"Cayuga Operating Company, LLC",2535,2009,1792489.09,,2197.562,1711295.046,2110.208,16588982.41,0,1,Not Disadvantaged
NY,Bethlehem Energy Center (Albany),2539,2009,2319084.37,,7.734,1516133.175,101.853,25507378.24,0,1,Not Disadvantaged
NY,Oswego Harbor Power,2594,2009,79331.64,,380.644,76853.825,88.293,955125.228,1,0,Disadvantaged
NY,Bowline Generating Station,2625,2009,158787.53,,78.409,131980.778,133.678,2053844.337,1,0,Disadvantaged
NY,Hillburn,2628,2009,140.78,,0.024,150.43,0.622,2204.081,0,1,Not Disadvantaged
NY,Shoemaker,2632,2009,146.2,,0.035,180.457,0.947,2572.418,0,1,Not Disadvantaged
NY,Freeport Power Plant No. 2,2679,2009,47411.58,,0.152,27683.004,2.731,465815.279,1,0,Disadvantaged
NY,S A Carlson,2682,2009,7315.75,854787.25,1884.623,149334.752,283.165,1485619.7,1,0,Disadvantaged
NY,Somerset Operating Company  (Kintigh),6082,2009,3557862.14,,5070.096,3469912.399,3748.124,33819833.75,0,1,Not Disadvantaged
NY,Wading River Facility,7146,2009,45749.25,,77.902,48276.85,74.354,599302.35,0,1,Not Disadvantaged
NY,Richard M Flynn (Holtsville),7314,2009,815079.77,,39.6,594395.482,166.363,9826415.851,0,1,Not Disadvantaged
NY,Glenwood Landing Energy Center,7869,2009,51831.75,,0.263,30547.375,4.353,510379.775,0,1,Not Disadvantaged
NY,Vernon Boulevard,7909,2009,18972.61,,0.056,11252.078,1.19,189358.375,0,1,Not Disadvantaged
NY,23rd and 3rd,7910,2009,87439.86,,0.251,49819.207,4.465,838328.569,0,1,Not Disadvantaged
