State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Disadvantaged?,Not Disadvantaged,Tract Status?
NY,Arthur Kill,2490,2014,1216932.96,,3.694,731693.877,502.929,12314531.65,0,1,Not Disadvantaged
NY,East River,2493,2014,2342879.5,7864440.75,138.965,2092500.8,775.882,34885780.15,0,1,Not Disadvantaged
NY,Ravenswood Generating Station,2500,2014,5022622.54,,296.971,2819493.707,1515.631,46709031.54,0,1,Not Disadvantaged
NY,E F Barrett,2511,2014,1612427.5,,115.852,1090599.475,927.631,18159433.63,0,1,Not Disadvantaged
NY,Glenwood,2514,2014,5525,,18.424,5969.2,19.381,73692.3,0,1,Not Disadvantaged
NY,Northport,2516,2014,2880215.75,,1715.678,1819262.25,1055.577,28888291.78,0,1,Not Disadvantaged
NY,Port Jefferson Energy Center,2517,2014,490809,,370.641,328248.95,175.554,5137440.775,0,1,Not Disadvantaged
NY,West Babylon Facility,2521,2014,2402,,4.4,2591.4,7.761,32001.1,0,1,Not Disadvantaged
NY,"Cayuga Operating Company, LLC",2535,2014,1031922.91,,2845.122,1028822.309,1470.734,10027567.21,0,1,Not Disadvantaged
NY,Bethlehem Energy Center (Albany),2539,2014,3050894.01,,9.517,1885360.955,115.315,31724877.64,0,1,Not Disadvantaged
NY,Oswego Harbor Power,2594,2014,89900.98,,265.344,89667.931,119.283,1111160.853,1,0,Disadvantaged
NY,Bowline Generating Station,2625,2014,1580449.36,,146.354,924580.711,1039.543,15360759.59,1,0,Disadvantaged
NY,Hillburn,2628,2014,217.84,,0.001,233.971,0.937,3933.6,0,1,Not Disadvantaged
NY,Shoemaker,2632,2014,354.19,,0,75.699,0.177,1270.713,0,1,Not Disadvantaged
NY,Freeport Power Plant No. 2,2679,2014,53174.75,,0.175,31028.45,3.926,519869.525,1,0,Disadvantaged
NY,S A Carlson,2682,2014,185272.25,,0.62,123800.425,153.534,2083406.575,1,0,Disadvantaged
NY,Somerset Operating Company  (Kintigh),6082,2014,1901678.78,,4817.236,1845712.217,2966.822,17989413.42,0,1,Not Disadvantaged
NY,Wading River Facility,7146,2014,30725,,48.373,33134.5,47.413,408374.975,0,1,Not Disadvantaged
NY,Richard M Flynn (Holtsville),7314,2014,808626.01,,15.004,591793.962,173.054,9724781.112,0,1,Not Disadvantaged
NY,Glenwood Landing Energy Center,7869,2014,206624.25,,1.439,122161.225,13.668,2032661.525,0,1,Not Disadvantaged
NY,Vernon Boulevard,7909,2014,51507.17,,0.146,28845.418,3.029,485366.785,0,1,Not Disadvantaged
NY,23rd and 3rd,7910,2014,78223.38,,0.226,44651.053,4.415,751366.251,0,1,Not Disadvantaged
NY,Brentwood,7912,2014,44900.61,,0.122,24223.823,2.23,407609.072,1,0,Disadvantaged
NY,Hell Gate,7913,2014,48537.21,,0.146,28920.633,2.754,486636.617,1,0,Disadvantaged
NY,Harlem River Yard,7914,2014,56943.16,,0.173,34276.18,3.323,576749.63,1,0,Disadvantaged
NY,North 1st,7915,2014,42154.98,,0.115,22836.469,2.378,384262.576,0,1,Not Disadvantaged
NY,Roseton Generating LLC,8006,2014,396525.33,,607.706,295500.747,308.51,4134565.437,0,1,Not Disadvantaged
NY,Holtsville Facility,8007,2014,34438,,126.421,40953.7,243.813,505562.1,0,1,Not Disadvantaged
